system;element;norm;unit;note
С 111;ГСП 12,5 мм;2,0;м2;
С 111;Профиль направляющий ПН 50/75/100х40;0,7 [1,3];пог.м;
С 111;Профиль стоечный ПС 50/75/100х50;2,0;пог.м;
С 111;Минеральная звукоизоляция;1,0;м2;по проекту
С 111;Шуруп TN 25;29 [34];шт;
С 111;Шпаклёвка КНАУФ-Фуген;0,6 [0,9];кг;
С 111;Лента армирующая;1,5 [2,2];пог.м;
С 111;Дюбель-гвоздь 6х40;1,6;шт;
С 111;Лента уплотнительная;1,2;пог.м;
С 111;Грунтовка КНАУФ-Тифенгрунд;0,2;л;
С 111;Профиль углозащитный ПУ;по потребности;;
С 111;Лента разделительная;по потребности;;
С 112;ГСП 12,5 мм;4,0;м2;
С 112;Профиль направляющий ПН 50/75/100х40;0,7;пог.м;
С 112;Профиль стоечный ПС 50/75/100х50;2,0;пог.м;
С 112;Минеральная звукоизоляция;1,0;м2;по проекту
С 112;Шуруп TN 25;13 [14];шт;
С 112;Шуруп TN 35;29 [30];шт;
С 112;Шпаклёвка КНАУФ-Фуген;1,0 [1,5];кг;
С 112;Лента армирующая;1,5 [2,2];пог.м;
С 112;Дюбель-гвоздь 6х40;1,6;шт;
С 112;Лента уплотнительная;1,2;пог.м;
С 112;Грунтовка КНАУФ-Тифенгрунд;0,2;л;
С 112;Профиль углозащитный ПУ;по потребности;;
С 112;Лента разделительная;по потребности;;
С 113;ГСП 12,5 мм;6,0;м2;
С 113;Профиль направляющий ПН 100х40;0,7;пог.м;
С 113;Профиль стоечный ПС 100х50;2,0;пог.м;
С 113;Минеральная звукоизоляция;1,0;м2;по проекту
С 113;Шуруп TN 25;13 [14];шт;
С 113;Шуруп TN 35;21 [22];шт;
С 113;Шуруп TN 55;29 [30];шт;
С 113;Шпаклёвка КНАУФ-Фуген;1,4 [2,0];кг;
С 113;Лента армирующая;1,5 [2,2];пог.м;
С 113;Дюбель-гвоздь 6х40;1,6;шт;
С 113;Лента уплотнительная;1,2;пог.м;
С 113;Грунтовка КНАУФ-Тифенгрунд;0,2;л;
С 115;ГСП 12,5 мм;4,0;м2;
С 115;Профиль направляющий ПН 50/75/100х40;1,4;пог.м;
С 115;Профиль стоечный ПС 50/75/100х50;4,0;пог.м;
С 115;Минеральная звукоизоляция;1,0;м2;по проекту
С 115;Шуруп TN 25;13 [14];шт;
С 115;Шуруп TN 35;29 [30];шт;
С 115;Шпаклёвка КНАУФ-Фуген;1,0 [1,5];кг;
С 115;Лента армирующая;1,5 [2,2];пог.м;
С 115;Дюбель-гвоздь 6х40;3,2;шт;
С 115;Лента уплотнительная;2,4 + 0,5;пог.м;
С 115;Грунтовка КНАУФ-Тифенгрунд;0,2;л;
С 116;ГСП 12,5 мм;4,1;м2;
С 116;Профиль направляющий ПН 50/75/100х40;1,4;пог.м;
С 116;Профиль стоечный ПС 50/75/100х50;4,0;пог.м;
С 116;Минеральная звукоизоляция;1,0;м2;
С 116;Шуруп TN 25;18;шт;
С 116;Шуруп TN 35;29;шт;
