category;brand;name;unit;norms
ВК и сантехника;;Мешок для мусора 75 л 550х1050 мм полипропиленовый повышенной прочности;шт;2.0
ВК и сантехника;;Сифон HL136N с гидрозатвором HL136N Hutterer & Lechner;шт;1.0
ВК и сантехника;;Гибкая подводка для воды Gigant с оплеткой из нержавеющей стали;шт;1.0
ВК и сантехника;;Сифон с гидрозатвором HL138;шт;1.0
ВК и сантехника;Ostendorf;Ревизия канализационная ø50 HTRE Ostendorf;шт;1.0
ВК и сантехника;;Сифон прямоточный HL100G/50 HL;шт;1.0
ВК и сантехника;;Смеситель (поставка Заказчика);шт;1.0
ВК и сантехника;;Сифон с гидрозатвором HL138 HL;шт;1.0
ВК и сантехника;;Гибкая подводка в металл. оплетке из нерж. стали PN20 Ду20;шт;1.0
ВК и сантехника;;Гибкая полнопроходная подводка (резиновый шланг) в металл. оплетке из нерж. стали PN20 Ду20;шт;1.0
ВК и сантехника;;Сифон HL;шт;1.0
ВК и сантехника;;Изоляционный материал типа K-Flex ST 6 мм для трубы полипропиленовой наружного диаметра ∅25 K-Flex;мп;1.05
ВК и сантехника;;Изоляционный материал типа K-Flex ST 13 мм для трубы полипропиленовой наружного диаметра ∅32 K-Flex;мп;1.1
ВК и сантехника;;Изоляционный материал типа K-Flex ST 6 мм для трубы полипропиленовой наружного диаметра ∅32 K-Flex;мп;1.1
ВК и сантехника;;"Гибкая подводка для фанкойла в оплётке из нержавеющей стали ∅3/4"" (Ду20) с вн.р.";шт;1.0
ВК и сантехника;;Сифон с гидрозатвором;шт;1.0
ВК и сантехника;;Дренажный сифон с разрывом струи HL136N HL;шт;1.0
ВК и сантехника;;Гибкая подводка ∅20, L=500мм;шт;5.0
ВК и сантехника;;Инсталляция для унитаза Tece;шт;1.0
ВК и сантехника;;Унитаз Delabie;шт;1.0
ВК и сантехника;;Раковина со столешницей (поставка Заказчика);шт;1.0
ВК и сантехника;;Раковина (поставка Заказчика);шт;1.0
ВК и сантехника;;Смеситель Cisal;шт;1.0
Гипсокартон и листовые;Knauf;ГКЛ Knauf 2500х1200х12,5мм;м2;"0.2;0.45;0.7;0.8;1.1"
Гипсокартон и листовые;Knauf;Лента бумажная для швов ГКЛ Knauf Курт 52 мм 75 м с армирующими волокнами;мп;"0.75;1.1;1.2;2.2"
Гипсокартон и листовые;;Стекломагнезитовый лист Премиум 2440х1220х12 мм прямая кромка;м2;1.1
Гипсокартон и листовые;Knauf;Гипсокартон Knauf 2500х1200х9,5 мм;м2;"1.1;1.15"
Гипсокартон и листовые;;ДВП 3,2х1220х2745 мм;м2;"1.1;1.15"
Гипсокартон и листовые;;Фанера ФК 12х1525х1525 мм сорт 4/4 нешлифованная;м2;"1.1;2.1"
Гипсокартон и листовые;;Фанера ФСФ 12х1220х2440 мм сорт 4/4 нешлифованная береза;м2;1.1
Гипсокартон и листовые;;Фанера ФК 6х1525х1525 мм сорт 4/4 нешлифованная;шт;1.0
Гипсокартон и листовые;Knauf;ГКЛВ Knauf 2500х1200х9,5 мм;м2;1.1
Гипсокартон и листовые;;Фанера ФК 8х1525х1525 мм сорт 4/4 нешлифованная;м2;1.1
Грунт и праймер;Ceresit;Грунт Ceresit СТ17 PRO 10 л;л;"0.1;0.2"
Грунт и праймер;Ceresit;Грунт Ceresit CT17;л;"0.1;0.2"
Грунт и праймер;;Грунтовка по металлу Радуга ВД АК Р-150 0.9 л цвет серый;л;"0.02;0.2"
Грунт и праймер;;Грунт укрывающий Bayramix Astar Кварцевый B1 7 кг;л;0.3
Грунт и праймер;;Грунтовка по стяжке Probond PU PRIMER EXTRA полиуретановая;кг;0.17
Грунт и праймер;;Грунт укрывающий;л;0.2
Двери и фурнитура;;Доводчик;шт;1.0
Двери и фурнитура;;Дверь скрытой установки;шт;1.0
Двери и фурнитура;;Материалы для устройства временной перегородки с дверью;м2;1.1
Двери и фурнитура;Valtec;"Кран шаровой латунный полнопроходной «BASE», ручка «бабочка», ВР-НР 1/2"" VALTEC";шт;1.0
Двери и фурнитура;;Дверь скрытой установки 700х2050 мм;шт;1.0
Двери и фурнитура;;Дверь скрытой установки 800х2450 мм;шт;1.0
Двери и фурнитура;;Дверь глухая, распашная, однопольная, правая. Размер строительного проема 1000х2100 (h);шт;1.0
Двери и фурнитура;;Дверь противопожарная 800х2000 мм;шт;1.0
Двери и фурнитура;;Дверь противопожарная900х2000 мм;шт;1.0
Двери и фурнитура;IEK;Вводно-распределительный щит ВРЩ, TITAN 5 ЩРн-120 120(2х5х12) модулей одна дверь IP54 белый IEK ЩРн-120 IP54 TI5-50-N-2X060- 54-7035 IEK;шт;1.0
Двери и фурнитура;;Дверь противопожарная (б/у);шт;1.0
Двери и фурнитура;;Дверь скрытой установки 2050х1000;шт;1.0
Изоляция и мембраны;Rockwool;Мин вата Rockwool Лайт Баттс Скандик 50;м2;"1.1;1.6"
Изоляция и мембраны;Knauf;Гидроизоляция Knauf Флэхендихт;кг;1.4
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø25 ENERGOFLEX SUPER Energoflex;мп;"1.05;1.1"
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø9.52 ENERGOFLEX SUPER Energoflex;мп;1.1
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø15.88 ENERGOFLEX SUPER Energoflex;мп;1.1
Изоляция и мембраны;Rockwool;Мин вата Rockwool Лайт Баттс 50мм;м2;1.1
Изоляция и мембраны;;Изоляция из вспененного каучука самоклеящиеся Armaflex AF-10ММ/E-S/100 10 м;м2;1.1
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø32 ENERGOFLEX SUPER Energoflex;мп;1.05
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø40 ENERGOFLEX SUPER Energoflex;мп;1.05
Изоляция и мембраны;;Трубка вспененный полиэтилен L=2м Тмакс=95°C, b=9 мм для ø50 ENERGOFLEX SUPER Energoflex;мп;1.05
Инструмент и расходники;;Наждачная бумага Abraforce 100 мм 3 м Р240;м;0.1
Инструмент и расходники;;Пленка укрывная техническая 200мкр;м2;"1.1;1.15"
Инструмент и расходники;;Мусорный контейнер 8м3;шт;1.0
