work_name;unit;system;confidence;note
Нанесение проявочного слоя перед декоративной штукатуркой стен в/э краской 2 раза;м2;PLITONIT S12;высокая;около 1,2 кг на м2 на 1 мм
Отделка стен декоративной штукатуркой;м2;PLITONIT S12;высокая;около 1,2 кг на м2 на 1 мм
Штукатурка потолков сложной формы;м2;PLITONIT S12;высокая;около 1,2 кг на м2 на 1 мм
Отделка потолка декоративной штукатуркой;м2;PLITONIT S12;высокая;около 1,2 кг на м2 на 1 мм
Штукатурка стен;м2;PLITONIT S12;высокая;около 1,2 кг на м2 на 1 мм
Укладка керамогранита (нестандарт форма/размер) с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Монтаж плинтуса керамогранит h100;мп;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка керамогранита (600х600) с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка плитки на стены (нестандарт форма/размер) с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка керамогранита (300х300) с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Керамогранит - поставка;;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка плитки на стены с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Кто поставляет плитку на стены и керамогранит на пол;Сбро;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Как стыковать плитку на стенах на внеш углах? Профиль норм?;Нахлест.  Сторону согласовать с Анастасией;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка плитки на стены с затиркой швов (порталы и откосы);м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка плитки мозаика на стены и на кассу;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Подготовка пола под укладку плитки;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка керамогранита на складе;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка керамогранита (мозаика) с затиркой швов;м2;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Монтаж плинтуса керамогранит h100 (склад);мп;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Монтаж плинтуса керамогранит h50 (санузел);мп;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Резка керамогранита под 45 градусов;мп;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Укладка плитки, 600х600мм запас 10% поставка заказчика;м.кв.;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Затирка швов плитки;м.кв.;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Монтаж плинтуса керамогранит;м.п.;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Поставка заказчика - керамогранит, освещение, камеры;;PLITONIT В + З;высокая;клей по зубцу шпателя, затирка по формуле
Устройство гидроизоляции;м2;PLITONIT ГидроЭласт;высокая;по таблице режимов
Устройство гидроизоляции стен;м2;PLITONIT ГидроЭласт;высокая;по таблице режимов
Монтаж чернового каркаса потолка из профильной трубы 40х20х2 мм с огрунтовкой;м2;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
Монтаж чернового каркаса потолка из профильной трубы 40х20х2,5 мм с огрунтовкой;м2;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
Монтаж чернового каркаса потолка из профильной трубы с огрунтовкой;м2;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
Нанесение грунтовки перед укладкой напольного покрытия;м.кв.;PLITONIT Грунт 1 PROFI;высокая;120–300 мл на м2
